username,followers,post_frequency,likes,comments,shares,platform,verified,engagement_rate,is_fake,like_ratio,comment_ratio,share_ratio,like_comment_ratio,platform_weight,platform_engagement,low_engagement_flag,is_viral,fake_flag,engagement_score,iso_pred,iso_score,cluster,km_pred,eng_component,auth_component,platform_component,viral_component,influence_score,tier
user_0,122958,25,9557,263,296,Instagram,0,0.0822719953154735,0,0.0777257274841815,0.0021389417524683,0.0024073260788236,36.20075757575758,1.0,0.0822719953154735,0,0,0,0.0892255892255892,0,0.09106688291757087,2,0,55.26211079088,100.0,57.244960844996164,0,63.55383648535123,Strong
user_1,147867,22,20854,1242,416,Instagram,0,0.1522449228022479,0,0.141032143750803,0.0083994400373308,0.002813339014114,16.777152051488336,1.0,0.1522449228022479,0,1,0,0.1662710408678068,1,-0.039067595096627605,1,0,100.0,70.0,100.0,10,82.0,Elite
user_2,132932,27,7246,215,73,Instagram,0,0.056675593536545,0,0.054509072307646,0.0016173682785183,0.0005491529503806,33.5462962962963,1.0,0.056675593536545,0,0,0,0.0593912677158246,0,0.06354132544214941,2,0,33.87551476646075,100.0,37.63715659794648,0,51.0776372261736,Strong
user_3,366838,27,22357,789,379,Instagram,0,0.0641291251178994,0,0.0609451583532785,0.0021508131654844,0.0010331535991364,28.3,1.0,0.0641291251178994,0,0,0,0.0683462454816567,0,0.10118986219902942,2,0,40.29484935138924,100.0,43.34684147704192,0,54.78730803596408,Strong
user_4,260178,17,23198,1781,340,Instagram,0,0.0973141464689558,0,0.0891620352220402,0.0068453135930017,0.0013067976539138,13.017957351290685,1.0,0.0973141464689558,0,0,0,0.1067730553697852,0,0.06339504622364078,2,0,67.8409311121421,100.0,68.76781307318775,0,70.8899350594944,Strong
user_5,120879,13,7548,404,211,Instagram,0,0.0675303402576129,0,0.0624426078971533,0.0033421851603669,0.0017455472000926,18.63703703703704,1.0,0.0675303402576129,0,0,0,0.0743636198181652,0,0.11831880932436045,2,0,44.60837644200851,100.0,45.952299901925095,0,57.033810557188424,Strong
user_6,111268,1,16205,1054,558,Instagram,0,0.1601269008160477,0,0.1456393572275946,0.0094726246539885,0.0050149189344645,15.360189573459715,1.0,0.1601269008160477,0,1,0,0.1796293633389654,1,-0.06759243015235639,1,0,100.0,70.0,100.0,10,82.0,Elite
user_7,208892,2,27113,1450,502,Instagram,1,0.1391388851655401,0,0.1297943434885012,0.0069413859793577,0.002403155697681,18.685733976567885,1.0,0.1391388851655401,0,1,0,0.15088658254026,0,0.01596700668741302,1,0,99.46350997650157,100.0,100.0,10,90.78540399060063,Elite
user_8,55886,9,4241,225,201,Instagram,0,0.0835092867623376,0,0.075886626346491,0.0040260530365386,0.0035966073793078,18.76548672566372,1.0,0.0835092867623376,0,0,0,0.094728554557492,0,0.110359413794762,2,0,59.20688615475984,100.0,58.192772521660494,0,65.32130896623605,Strong
user_9,138337,3,15058,386,154,Instagram,0,0.1127536378553821,0,0.1088501268641072,0.0027902874863557,0.0011132235049191,38.90956072351421,1.0,0.1127536378553821,0,0,0,0.1177703723515762,0,0.027012416255346006,2,0,75.72430716160487,100.0,80.59504282968713,0,76.40873143057937,Elite
